,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,start_date,start_date_local,timezone,utc_offset,Runner
0,42748.4,13133,13163,351.9,Run,Run,0,2023-09-16T21:18:20Z,2023-09-17T07:18:20Z,(GMT+10:00) Australia/Sydney,36000,Tom
1,5017.5,1702,1770,84.6,Run,Run,0,2023-09-15T07:01:31Z,2023-09-15T17:01:31Z,(GMT+10:00) Australia/Sydney,36000,Tom
2,6005.3,2054,2061,17.6,Run,Run,0,2023-09-13T20:52:25Z,2023-09-14T06:52:25Z,(GMT+10:00) Australia/Brisbane,36000,Tom
3,8541.4,2890,2914,32.3,Run,Run,0,2023-09-11T20:48:11Z,2023-09-12T06:48:11Z,(GMT+10:00) Australia/Brisbane,36000,Tom
4,8153.8,2870,2953,91,Run,Run,0,2023-09-10T20:35:17Z,2023-09-11T06:35:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
5,19029.3,6559,7662,116.4,Run,Run,0,2023-09-08T21:02:12Z,2023-09-09T07:02:12Z,(GMT+10:00) Australia/Brisbane,36000,Tom
6,10012.8,3136,3136,22,Run,Run,0,2023-09-07T20:47:20Z,2023-09-08T06:47:20Z,(GMT+10:00) Australia/Brisbane,36000,Tom
7,10030,3489,3660,92,Run,Run,0,2023-09-06T20:35:06Z,2023-09-07T06:35:06Z,(GMT+10:00) Australia/Brisbane,36000,Tom
8,5954,2112,2273,41.2,Run,Run,0,2023-09-05T21:03:30Z,2023-09-06T07:03:30Z,(GMT+10:00) Australia/Brisbane,36000,Tom
9,9094,2988,3000,23.8,Run,Run,0,2023-09-05T07:25:17Z,2023-09-05T17:25:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
10,26012.2,7609,7929,98.3,Run,Run,0,2023-09-02T23:40:22Z,2023-09-03T09:40:22Z,(GMT+10:00) Australia/Brisbane,36000,Tom
11,9329.6,3181,3988,116,Run,Run,0,2023-08-31T20:39:44Z,2023-09-01T06:39:44Z,(GMT+10:00) Australia/Brisbane,36000,Tom
12,10441.7,3067,3166,36,Run,Run,0,2023-08-29T20:48:50Z,2023-08-30T06:48:50Z,(GMT+10:00) Australia/Brisbane,36000,Tom
13,10003.3,3594,3722,83.4,Run,Run,0,2023-08-28T20:17:17Z,2023-08-29T06:17:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
14,37009.5,11365,11822,232.4,Run,Run,0,2023-08-26T21:52:34Z,2023-08-27T07:52:34Z,(GMT+10:00) Australia/Brisbane,36000,Tom
15,11539.6,3751,4020,69.6,Run,Run,0,2023-08-25T22:00:52Z,2023-08-26T08:00:52Z,(GMT+10:00) Australia/Brisbane,36000,Tom
16,14010,4266,4269,33.3,Run,Run,0,2023-08-24T20:51:31Z,2023-08-25T06:51:31Z,(GMT+10:00) Australia/Brisbane,36000,Tom
17,13013,4208,4481,91.3,Run,Run,0,2023-08-23T07:12:37Z,2023-08-23T17:12:37Z,(GMT+10:00) Australia/Brisbane,36000,Tom
18,8773.6,2844,2847,25.4,Run,Run,0,2023-08-21T07:29:59Z,2023-08-21T17:29:59Z,(GMT+10:00) Australia/Brisbane,36000,Tom
19,11486.8,3447,3458,32.4,Run,Run,0,2023-08-19T21:51:54Z,2023-08-20T07:51:54Z,(GMT+10:00) Australia/Brisbane,36000,Tom
20,5011.9,1165,1165,7.1,Run,Run,0,2023-08-18T21:00:36Z,2023-08-19T07:00:36Z,(GMT+10:00) Australia/Brisbane,36000,Tom
21,11005.7,3871,4397,101.6,Run,Run,0,2023-08-18T07:02:47Z,2023-08-18T17:02:47Z,(GMT+10:00) Australia/Brisbane,36000,Tom
22,35011.8,10724,10994,171.5,Run,Run,0,2023-08-15T22:02:41Z,2023-08-16T08:02:41Z,(GMT+10:00) Australia/Brisbane,36000,Tom
23,10255.3,3528,3662,77.7,Run,Run,0,2023-08-15T08:06:06Z,2023-08-15T18:06:06Z,(GMT+10:00) Australia/Brisbane,36000,Tom
24,14158.5,4338,4343,200.6,Run,Run,0,2023-08-12T22:42:29Z,2023-08-13T08:42:29Z,(GMT+10:00) Australia/Sydney,36000,Tom
25,5009.1,1402,1402,9.3,Run,Run,0,2023-08-11T06:46:42Z,2023-08-11T16:46:42Z,(GMT+10:00) Australia/Brisbane,36000,Tom
26,32003.1,10993,11609,204.8,Run,Run,0,2023-08-09T07:11:17Z,2023-08-09T17:11:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
27,10654.5,3583,3590,39,Run,Run,0,2023-08-08T07:08:54Z,2023-08-08T17:08:54Z,(GMT+10:00) Australia/Brisbane,36000,Tom
28,8040.1,2978,3126,80,Run,Run,0,2023-08-07T06:58:08Z,2023-08-07T16:58:08Z,(GMT+10:00) Australia/Brisbane,36000,Tom
29,30600.8,10309,11009,578.4,Run,Run,0,2023-08-04T07:15:17Z,2023-08-04T08:15:17Z,(GMT+00:00) Europe/London,3600,Tom
30,5010.1,1743,1768,88.7,Run,Run,0,2023-08-03T08:20:25Z,2023-08-03T09:20:25Z,(GMT+00:00) Europe/London,3600,Tom
31,10129.4,3343,3379,78,Run,Run,0,2023-08-02T14:02:40Z,2023-08-02T15:02:40Z,(GMT+00:00) Europe/London,3600,Tom
32,10055.8,3042,3042,72.3,Run,Run,0,2023-08-01T09:26:02Z,2023-08-01T10:26:02Z,(GMT+00:00) Europe/London,3600,Tom
33,21144.9,7210,7465,363.5,Run,Run,0,2023-07-30T07:09:56Z,2023-07-30T08:09:56Z,(GMT+00:00) Europe/London,3600,Tom
34,11009.9,3379,3440,81.5,Run,Run,0,2023-07-28T14:57:02Z,2023-07-28T15:57:02Z,(GMT+00:00) Europe/London,3600,Tom
35,7133.5,2590,2855,32.4,Run,Run,0,2023-07-27T14:44:05Z,2023-07-27T15:44:05Z,(GMT+00:00) Europe/London,3600,Tom
36,9737.4,3565,3583,162,Run,Run,0,2023-07-25T15:21:24Z,2023-07-25T16:21:24Z,(GMT+00:00) Europe/London,3600,Tom
37,32016.1,10556,14482,376.9,Run,Run,0,2023-07-23T06:53:25Z,2023-07-23T07:53:25Z,(GMT+00:00) Europe/London,3600,Tom
38,5027.9,1706,1747,88.2,Run,Run,0,2023-07-22T08:13:26Z,2023-07-22T09:13:26Z,(GMT+00:00) Europe/London,3600,Tom
39,12839.2,4383,7228,189.7,Run,Run,0,2023-07-19T20:39:31Z,2023-07-20T06:39:31Z,(GMT+10:00) Australia/Brisbane,36000,Tom
40,8259.2,2596,2655,19.9,Run,Run,0,2023-07-18T21:08:44Z,2023-07-19T07:08:44Z,(GMT+10:00) Australia/Brisbane,36000,Tom
41,8270,3034,3091,84.6,Run,Run,0,2023-07-18T06:51:45Z,2023-07-18T16:51:45Z,(GMT+10:00) Australia/Brisbane,36000,Tom
42,29015.4,9949,10485,80.9,Run,Run,0,2023-07-15T23:21:12Z,2023-07-16T09:21:12Z,(GMT+10:00) Australia/Brisbane,36000,Tom
43,5021.3,1433,1433,7.1,Run,Run,0,2023-07-14T21:01:17Z,2023-07-15T07:01:17Z,(GMT+10:00) Australia/Brisbane,36000,Tom
44,6049.6,2123,2126,47.4,Run,Run,0,2023-07-13T08:59:43Z,2023-07-13T18:59:43Z,(GMT+10:00) Australia/Brisbane,36000,Tom
45,10030.6,3278,3510,100.1,Run,Run,0,2023-07-12T07:27:21Z,2023-07-12T17:27:21Z,(GMT+10:00) Australia/Brisbane,36000,Tom
46,8008.1,2666,2714,69.7,Run,Run,0,2023-07-11T07:12:57Z,2023-07-11T17:12:57Z,(GMT+10:00) Australia/Brisbane,36000,Tom
47,22009.4,7674,10409,153.9,Run,Run,0,2023-07-07T21:37:21Z,2023-07-08T07:37:21Z,(GMT+10:00) Australia/Melbourne,36000,Tom
48,9650.2,3367,5301,121.1,Run,Run,0,2023-07-05T20:42:33Z,2023-07-06T06:42:33Z,(GMT+10:00) Australia/Brisbane,36000,Tom
49,11335.9,3525,3646,35,Run,Run,0,2023-07-04T07:45:16Z,2023-07-04T17:45:16Z,(GMT+10:00) Australia/Brisbane,36000,Tom
50,5996.6,2268,2282,53.1,Run,Run,0,2023-07-03T08:22:44Z,2023-07-03T18:22:44Z,(GMT+10:00) Australia/Brisbane,36000,Tom
51,21255.8,5868,5868,22.4,Run,Run,0,2023-06-30T20:15:52Z,2023-07-01T06:15:52Z,(GMT+10:00) Australia/Brisbane,36000,Tom
52,6389.4,2162,2395,118.1,Run,Run,0,2023-06-29T07:41:31Z,2023-06-29T17:41:31Z,(GMT+10:00) Australia/Brisbane,36000,Tom
53,8026.5,2446,2477,28.4,Run,Run,0,2023-06-28T07:16:05Z,2023-06-28T17:16:05Z,(GMT+10:00) Australia/Brisbane,36000,Tom
54,7013.6,2446,2459,23.9,Run,Run,0,2023-06-26T21:18:44Z,2023-06-27T07:18:44Z,(GMT+10:00) Australia/Brisbane,36000,Tom
55,10000.8,7776,13615,210.5,Walk,Walk,,2023-06-25T02:02:28Z,2023-06-25T12:02:28Z,(GMT+10:00) Australia/Brisbane,36000,Tom
56,20053.5,6830,7191,116.8,Run,Run,0,2023-06-23T22:02:23Z,2023-06-24T08:02:23Z,(GMT+10:00) Australia/Brisbane,36000,Tom
57,7186.4,2547,2550,26.8,Run,Run,0,2023-06-21T20:51:34Z,2023-06-22T06:51:34Z,(GMT+10:00) Australia/Brisbane,36000,Tom
58,8138.7,2822,2825,75,Run,Run,0,2023-06-20T08:06:57Z,2023-06-20T18:06:57Z,(GMT+10:00) Australia/Brisbane,36000,Tom
59,8014.6,2942,3010,24.2,Run,Run,0,2023-06-19T08:02:59Z,2023-06-19T18:02:59Z,(GMT+10:00) Australia/Brisbane,36000,Tom
60,19013,6126,6585,132.2,Run,Run,0,2023-06-17T21:52:03Z,2023-06-18T07:52:03Z,(GMT+10:00) Australia/Brisbane,36000,Tom
61,0,3002,3002,0,WeightTraining,WeightTraining,,2023-06-15T20:58:33Z,2023-06-16T06:58:33Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
62,8340.2,2928,2965,122,Run,Run,0,2023-06-14T21:02:02Z,2023-06-15T07:02:02Z,(GMT+10:00) Australia/Brisbane,36000,Tom
63,9475.8,2948,3453,57.8,Run,Run,0,2023-06-13T21:33:15Z,2023-06-14T07:33:15Z,(GMT+10:00) Australia/Brisbane,36000,Tom
64,0,3425,3425,0,WeightTraining,WeightTraining,,2023-06-13T08:24:44Z,2023-06-13T18:24:44Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
65,6203.4,2233,2246,41,Run,Run,0,2023-06-12T07:45:31Z,2023-06-12T17:45:31Z,(GMT+10:00) Australia/Brisbane,36000,Tom
66,0,3613,3613,0,WeightTraining,WeightTraining,,2023-06-11T01:25:35Z,2023-06-11T11:25:35Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
67,11000.7,3698,3698,64,Run,Run,0,2023-06-09T21:53:43Z,2023-06-10T07:53:43Z,(GMT+10:00) Australia/Brisbane,36000,Tom
68,5065.7,1250,1250,18.5,Run,Run,0,2023-06-09T21:01:22Z,2023-06-10T07:01:22Z,(GMT+10:00) Australia/Brisbane,36000,Tom
69,0,2645,2645,0,WeightTraining,WeightTraining,,2023-06-08T08:25:09Z,2023-06-08T18:25:09Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
70,5155.9,1846,1882,81.1,Run,Run,0,2023-06-07T21:06:02Z,2023-06-08T07:06:02Z,(GMT+10:00) Australia/Brisbane,36000,Tom
71,10044.9,3162,3184,100.4,Run,Run,0,2023-06-07T07:31:48Z,2023-06-07T17:31:48Z,(GMT+10:00) Australia/Brisbane,36000,Tom
72,0,3548,3548,0,WeightTraining,WeightTraining,,2023-06-06T07:57:29Z,2023-06-06T17:57:29Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
73,9386.9,3371,3543,62.1,Run,Run,0,2023-06-05T07:25:56Z,2023-06-05T17:25:56Z,(GMT+10:00) Australia/Brisbane,36000,Tom
74,10086.8,2724,2735,81.7,Run,Run,0,2023-06-03T20:45:51Z,2023-06-04T06:45:51Z,(GMT+10:00) Australia/Brisbane,36000,Tom
75,0,3700,3700,0,WeightTraining,WeightTraining,,2023-06-02T07:35:15Z,2023-06-02T17:35:15Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
76,15006,4830,5001,183.1,Run,Run,0,2023-06-01T08:21:54Z,2023-06-01T18:21:54Z,(GMT+10:00) Australia/Brisbane,36000,Tom
77,0,2700,2700,0,WeightTraining,WeightTraining,,2023-05-31T10:51:38Z,2023-05-31T11:51:38Z,(GMT+00:00) Europe/London,3600,Tom
78,4371.6,1536,1586,88.5,Run,Run,0,2023-05-30T08:12:29Z,2023-05-30T18:12:29Z,(GMT+10:00) Australia/Brisbane,36000,Tom
79,0,3789,3789,0,WeightTraining,WeightTraining,,2023-05-29T07:42:26Z,2023-05-29T17:42:26Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
80,10276,3249,3283,22.7,Run,Run,0,2023-05-28T04:07:52Z,2023-05-28T14:07:52Z,(GMT+10:00) Australia/Brisbane,36000,Tom
81,10029,3143,3154,31,Run,Run,0,2023-05-24T21:34:15Z,2023-05-25T07:04:15Z,(GMT+09:30) Australia/Darwin,34200,Tom
82,4469.3,2119,2695,113.2,Run,Run,0,2023-05-22T23:59:30Z,2023-05-23T09:29:30Z,(GMT+09:30) Australia/Darwin,34200,Tom
83,4691.6,1523,1648,6.5,Run,Run,0,2023-05-20T22:15:43Z,2023-05-21T07:45:43Z,(GMT+09:30) Australia/Darwin,34200,Tom
84,6039.1,2096,2350,47.5,Run,Run,0,2023-05-19T23:28:07Z,2023-05-20T07:28:07Z,(GMT+08:00) Australia/Perth,28800,Tom
85,26736.1,5620,7624,249.9,Ride,Ride,10,2023-05-19T02:40:37Z,2023-05-19T10:40:37Z,(GMT+08:00) Australia/Perth,28800,Tom
86,6864.5,2346,2589,20,Run,Run,0,2023-05-17T01:15:22Z,2023-05-17T09:15:22Z,(GMT+08:00) Australia/Perth,28800,Tom
87,410.7,111,19088,0,Workout,Workout,,2023-05-15T01:43:10Z,2023-05-15T09:43:10Z,(GMT+08:00) Australia/Perth,28800,Tom
88,10286.8,3590,3687,31.3,Run,Run,0,2023-05-14T08:23:29Z,2023-05-14T16:23:29Z,(GMT+08:00) Australia/Perth,28800,Tom
89,5740,3571,7371,9.7,Workout,Workout,,2023-05-13T04:01:52Z,2023-05-13T12:01:52Z,(GMT+08:00) Australia/Perth,28800,Tom
90,5012.2,1687,1687,23.8,Run,Run,0,2023-05-10T02:00:43Z,2023-05-10T10:00:43Z,(GMT+08:00) Australia/Perth,28800,Tom
91,12007.6,4346,6093,26.7,Run,Run,0,2023-05-08T02:25:26Z,2023-05-08T10:25:26Z,(GMT+08:00) Australia/Perth,28800,Tom
92,4728,1799,1808,54.2,Run,Run,0,2023-05-06T23:00:30Z,2023-05-07T07:00:30Z,(GMT+08:00) Australia/Perth,28800,Tom
93,0,3521,3521,0,WeightTraining,WeightTraining,,2023-05-04T21:20:21Z,2023-05-05T07:20:21Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
94,5189.8,1862,1981,19.5,Run,Run,0,2023-05-03T21:08:45Z,2023-05-04T07:08:45Z,(GMT+10:00) Australia/Brisbane,36000,Tom
95,16139.6,5613,5656,50.1,Run,Run,0,2023-05-02T20:48:53Z,2023-05-03T06:48:53Z,(GMT+10:00) Australia/Brisbane,36000,Tom
96,0,3159,3159,0,WeightTraining,WeightTraining,,2023-05-02T06:51:43Z,2023-05-02T16:51:43Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
97,4477.1,1545,1568,19.2,Run,Run,0,2023-04-30T22:36:38Z,2023-05-01T08:36:38Z,(GMT+10:00) Australia/Brisbane,36000,Tom
98,0,3403,3403,0,WeightTraining,WeightTraining,,2023-04-28T06:48:27Z,2023-04-28T16:48:27Z,(GMT+10:00) Antarctica/DumontDUrville,36000,Tom
99,10001,3491,3510,44.4,Run,Run,0,2023-04-27T21:15:14Z,2023-04-28T07:15:14Z,(GMT+10:00) Australia/Brisbane,36000,Tom
100,4419,1539,1585,33.6,Run,Run,0,2023-04-26T20:42:33Z,2023-04-27T06:42:33Z,(GMT+10:00) Australia/Brisbane,36000,Tom
